#       	100%fe	95%fe 	90%fe 	85%fe 	80%fe 	75%fe 	70%fe 	65%fe 	60%fe 	55%fe 	50%fe 	45%fe 	40%fe 	35%fe 	30%fe 	25%fe 	20%fe 	15%fe 	10%fe 	5%fe  	rocky 	5%h2o 	10%h2o	15%h2o	20%h2o	25%h2o	30%h2o	35%h2o	40%h2o	45%h2o	50%h2o	55%h2o	60%h2o	65%h2o	70%h2o	75%h2o	80%h2o	85%h2o	90%h2o	95%h2o	100%h2o	cold_h2/he	max_coll_strip
#Mearth 	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth 	Rearth    	Rearth        
0.2872 	0.5739	0.5871	0.5993	0.6108	0.6213	0.6309	0.64  	0.6485	0.6562	0.6637	0.6712	0.6785	0.6858	0.693 	0.7   	0.707 	0.7138	0.7207	0.7274	0.7338	0.7404	0.7637	0.7818	0.7973	0.8116	0.825 	0.8379	0.8505	0.8625	0.8742	0.8854	0.8965	0.9074	0.9183	0.9293	0.9399	0.9502	0.9609	0.9714	0.9816	0.9916 	1.953     	              
0.3078 	0.5859	0.5994	0.6119	0.6237	0.6342	0.644 	0.6533	0.6616	0.6696	0.6773	0.685 	0.6925	0.6999	0.7071	0.7144	0.7215	0.7285	0.7354	0.7424	0.7491	0.7556	0.7795	0.7976	0.8135	0.828 	0.8416	0.8547	0.8675	0.8797	0.8916	0.9032	0.9148	0.9258	0.9368	0.9479	0.9589	0.9695	0.9801	0.9909	1.0015	1.0117 	1.996     	              
0.3299 	0.5982	0.6121	0.6249	0.6369	0.6475	0.6575	0.6667	0.6749	0.6831	0.6911	0.6989	0.7067	0.7142	0.7217	0.729 	0.7363	0.7435	0.7506	0.7576	0.7646	0.7714	0.7958	0.8141	0.8302	0.8449	0.8588	0.8721	0.885 	0.8973	0.9094	0.9212	0.933 	0.9447	0.9559	0.9669	0.9781	0.9891	0.9998	1.0106	1.0217	1.0322 	2.04      	              
0.3536 	0.6107	0.6249	0.638 	0.6503	0.6611	0.6711	0.6803	0.6887	0.697 	0.7051	0.7131	0.7211	0.7288	0.7365	0.744 	0.7514	0.7588	0.7661	0.7732	0.7803	0.7873	0.8124	0.8308	0.8472	0.8622	0.8763	0.8899	0.9029	0.9154	0.9277	0.9397	0.9517	0.9636	0.9753	0.9866	0.9977	1.0088	1.02  	1.0308	1.0421	1.0532 	2.086     	              
0.3789 	0.6234	0.638 	0.6514	0.6638	0.6748	0.6849	0.6941	0.7027	0.7112	0.7195	0.7277	0.7358	0.7437	0.7515	0.7593	0.7669	0.7743	0.7818	0.7891	0.7963	0.8036	0.8292	0.8478	0.8644	0.8797	0.8941	0.9079	0.9212	0.934 	0.9466	0.9589	0.9709	0.9829	0.9948	1.0064	1.0179	1.029 	1.0403	1.0515	1.0629	1.0745 	2.132     	              
0.4061 	0.6362	0.6512	0.665 	0.6775	0.6886	0.6988	0.708 	0.7168	0.7256	0.7341	0.7425	0.7508	0.7589	0.7668	0.7747	0.7826	0.7902	0.7978	0.8053	0.8127	0.8201	0.8463	0.8652	0.8819	0.8975	0.9122	0.9263	0.9398	0.9529	0.9658	0.9785	0.9908	1.0028	1.0147	1.0265	1.0382	1.0497	1.0611	1.0727	1.084 	1.0961 	2.179     	              
0.4353 	0.6494	0.6648	0.6789	0.6915	0.7028	0.713 	0.7222	0.7313	0.7402	0.749 	0.7576	0.7661	0.7744	0.7825	0.7906	0.7985	0.8064	0.8142	0.8218	0.8294	0.8369	0.8637	0.8828	0.8998	0.9156	0.9306	0.9449	0.9587	0.9721	0.9853	0.9982	1.0108	1.0232	1.0351	1.047 	1.0589	1.071 	1.0825	1.094 	1.1057	1.118  	2.227     	              
0.4665 	0.6627	0.6785	0.693 	0.7057	0.7172	0.7273	0.7367	0.7461	0.7552	0.7641	0.7729	0.7816	0.7901	0.7985	0.8068	0.8149	0.8229	0.8309	0.8387	0.8465	0.8541	0.8815	0.9009	0.9181	0.9342	0.9494	0.9638	0.9778	0.9917	1.0052	1.0183	1.0311	1.0438	1.0561	1.0682	1.0802	1.0926	1.1046	1.1159	1.1283	1.1405 	2.276     	              
0.5    	0.6761	0.6924	0.7073	0.7201	0.7317	0.7418	0.7515	0.7611	0.7704	0.7796	0.7886	0.7974	0.8061	0.8147	0.8232	0.8315	0.8397	0.8478	0.8559	0.8638	0.8717	0.8996	0.9192	0.9367	0.9531	0.9686	0.9834	0.9976	1.0118	1.0254	1.0388	1.0517	1.0648	1.0775	1.0899	1.1023	1.1147	1.1269	1.1385	1.151 	1.1632 	2.326     	              
0.5359 	0.6899	0.7066	0.7218	0.7348	0.7463	0.7565	0.7665	0.7763	0.7859	0.7953	0.8045	0.8136	0.8225	0.8312	0.8399	0.8485	0.8569	0.8651	0.8734	0.8815	0.8896	0.9178	0.9378	0.9557	0.9724	0.9881	1.0032	1.0179	1.0322	1.0461	1.0597	1.0727	1.0862	1.0992	1.112 	1.1246	1.1371	1.1495	1.1617	1.174 	1.1863 	2.378     	              
